,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
12994,108514,1,3.5,114000,74,2,41,2,782,54,23,24340,0
4973,98323,3,4.25,397000,52,1,28,2,792,80,24,33460,0
14858,110962,3,3.875,77000,64,1,40,1,686,80,53,16220,0
4450,97671,1,4.25,114000,47,1,19,1,721,80,4,40900,0
11844,107070,3,3.375,400000,65,2,21,2,802,56,4,41940,0
5759,99330,1,4.0,196000,75,1,25,1,780,54,39,10900,0
7382,101430,1,3.875,400000,60,1,42,2,770,45,35,35620,0
5550,99075,1,4.375,250000,80,2,31,2,694,54,26,0,0
6895,100776,1,4.25,138000,78,1,38,2,654,54,36,19380,0
999,93382,3,4.25,117000,53,1,19,1,790,54,5,19740,0
