,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
2730,95563,1,4.0,158000,80,1,36,2,765,54,24,40340,0
415,92667,1,4.125,80000,41,1,18,1,647,54,2,22220,0
2332,95057,3,3.75,408000,75,2,26,2,804,54,4,41940,0
2959,95839,1,4.06,413000,66,1,49,2,794,57,47,47900,0
6444,100200,2,4.0,211000,30,1,41,2,802,54,4,31080,0
2591,95379,2,4.125,204000,79,1,25,2,673,54,10,12060,0
6857,100726,1,4.625,178000,80,1,40,1,721,54,6,25540,0
4246,97411,1,4.0,308000,71,2,36,2,800,75,20,14460,0
2490,95259,3,4.25,400000,80,2,41,2,720,54,32,35620,0
5108,98490,3,4.5,250000,67,1,40,2,725,80,4,17020,0
