,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
1571,94112,3,4.5,196000,80,2,13,1,728,80,51,31540,0
264,92488,3,4.25,102000,51,1,14,2,819,80,28,16740,0
4481,97708,1,4.0,51000,32,2,31,2,690,54,37,0,0
12088,107371,3,3.375,69000,53,1,41,1,702,29,14,26820,0
11046,106093,3,3.5,102000,69,1,44,2,652,54,37,36420,0
8185,102405,1,4.375,210000,63,2,38,1,774,54,38,38900,0
546,92824,3,3.875,300000,75,1,44,2,806,27,4,31080,0
10513,105402,3,3.5,332000,80,2,28,1,785,80,15,16980,0
9996,104715,3,3.5,100000,42,2,18,1,803,54,23,24340,0
8902,103336,2,3.48,220000,24,2,30,2,778,27,4,41940,0
