,Unnamed: 0,origChannel,origIntRate,origUPB,origLTV,numBorrowers,origDebtIncRatio,loanPurp,worstCreditScore,bankNumber,stateNumber,mSA,zeroBalCode
1132,93544,3,4.375,150000,61,2,27,2,636,80,19,35380,0
2815,95663,2,3.875,203000,39,2,38,2,731,54,4,31080,0
5869,99464,3,4.375,199000,73,2,29,2,740,54,23,22420,0
6911,100794,2,4.125,175000,55,1,29,1,802,70,5,19740,0
7621,101707,2,3.75,300000,59,1,33,2,684,54,4,31080,0
1656,94218,1,4.875,150000,74,2,34,1,650,80,47,40060,1
3379,96353,3,4.0,157000,70,2,44,1,721,80,2,30780,0
4163,97310,2,4.5,190000,72,2,33,1,661,29,6,35300,0
9973,104687,2,3.625,300000,70,1,25,1,715,53,45,26420,0
495,92762,3,4.0,340000,77,1,44,2,780,27,4,42020,0
